Country,Confirmed,Recovered,Dead,
<strong>China<strong>,81386,71292,3255,
<bold>Worldwide</bold>,171844,17394,7173,
Italy,41035,4440,3405,
Spain,19980,1558,1002,
Iran,19644,5979,1433,
Germany,17653,180,47,
United States,14514,125,213,
France,10995,1300,372,
Korea,8652,2233,100,
Switzerland,4176,3,43,
United Kingdom,3297,65,145,
Netherlands,2994,0,106,
Belgium,2257,1,37,
Austria,2196,9,7,
Norway,1758,0,7,
Sweden,1423,0,11,
Denmark,1226,0,9,
Malaysia,1030,87,3,
Portugal,1020,0,6,
Japan,1016,215,35,
Australia,877,24,7,
Canada,873,7,12,
Czech Republic	,774,3,0,
Diamond Princess,712,551,8,
Israel,705,14,0,
Brazil,621,0,7,
Ireland,557,0,3,
Luxembourg,484,0,4,
Greece,464,14,6,
Pakistan,452,3,2,
Qatar,452,4,0,
Finland,400,1,0,
Singapore,385,124,0,
Indonesia,369,15,32,
Turkey,359,0,4,
Poland,355,13,5,
Chile,342,0,0,
Iceland,330,0,0,
Thailand,322,43,1,
Bahrain,285,81,1,
Romania,277,25,0,
Slovenia,275,0,1,
Saudi Arabia,274,6,0,
Estonia,267,0,0,
Ecuador,260,0,3,
Egypt,256,28,7,
Russia,253,8,1,
Philippines,230,8,18,
India,206,13,5,
South Africa,202,1,0,
Iraq,192,49,13,
Mexico,164,1,1,
Lebanon,163,14,,
Kuwait,149,22,0,
United Arab Emirates,140,31,0,
Armenia,136,1,0,
Panama,135,0,1,
Argentina,128,1,3,
Slovakia,123,0,1,
Serbia,118,0,0,
San Marino,109,2,7,
Colombia,108,0,0,
Bulgaria,107,0,2,
Croatia,102,5,1,
Uruguay,94,2,0,
Algeria,90,32,9,
Costa rica,87,0,1,
Latvia,86,0,0,
Vietnam,85,16,0,
Hungary,85,7,1,
Brunei,78,1,0,
Andorra,75,1,0,
Sri Lanka,71,1,0,
Jordan,70,1,0,
Belarus,69,3,0,
Cyprus,67,0,0,
North Macedonia,67,0,0,
Morocco,66,2,3,
Bosnia and Herzegovina,64,0,0,
Albania,55,0,0,
Moldova,49,1,1,
Kazakhstan,49,0,0,
Palestine,47,0,0,
Cambodia,47,1,0,
Georgia,43,1,0,
Venezuela,42,0,0,
Lithuania,41,0,0,
Oman,39,12,0,
Tunisia,39,0,0,
new Zealand	,39,0,0,
Malta,38,0,0,
Senegal,38,5,0,
Dominica,34,0,2,
Azerbaijan,28,6,1,
Burkina Faso,27,0,1,
Ukraine,26,0,3,
Honduras,24,0,0,
Afghanistan,24,0,0,
Uzbekistan,23,0,0,
Cameroon,21,2,0,
Democratic Republic of the Congo,18,0,0,
Bangladesh,20,3,1,
Cuba,16,0,1,
Ghana,16,0,0,
Martinique,15,0,0,
Jamaica,15,0,1,
Maldives,13,0,0,
Nigeria,12,0,0,
Bolivia,11,0,0,
French Guiana,11,0,1,
Rwanda,11,0,0,
Monaco,11,0,0,
Montenegro,10,0,0,
Paraguay,9,0,0,
Ivory Coast,9,1,0,
Ethiopia,9,0,0,
Togo,9,0,0,
Liechtenstein,7,0,0,
Kenya,7,0,0,
Mauritius,7,0,0,
Mongolia,6,0,0,
Tanzania,6,0,0,
Equatorial Guinea,6,0,0,
Puerto Rico,6,0,0,
Kyrgyzstan,6,0,0,
Guyana,5,0,1,
Seychelles,4,0,1,
Gabon,3,0,1,
Central African Republic	,3,0,0,
Saint martin,2,0,0,
Namibia,2,0,0,
Liberia,2,0,0,
Barbados,2,0,0,
Guatemala,2,0,1,
Zambia,2,0,0,
Mauritania,2,0,0,
Benin,2,0,0,
Suriname,2,0,0,
Haiti,2,0,0,
Guinea,2,0,0,
Nepal,1,0,0,
Bhutan,1,0,0,
Gibraltar,1,0,0,
Saint Barthélemy,1,0,0,
Vatican,1,0,0,
Guernsey Island,1,0,0,
Antigua and Barbuda,1,0,0,
Swaziland,1,0,0,
Republic of Congo,1,0,0,
Bahamas,1,0,0,
Trinidad and Tobago,1,0,0,
Somalia,1,0,0,
Libya,1,0,0,
Gambia,1,0,0,
Sudan,1,0,1,
Djibouti,1,0,0,
Saint Vincent and the Grenadines	,1,0,0,
Liberia,1,0,0,
Mayotte,1,0,0,
Fiji,1,0,0,
El Salvador	,1,0,0,
Republic of the Niger,1,0,0,
Cape verde,1,0,0,
,1,0,0,
